ID,CODAREA,DISTRITO,RECNUM,MOR_DOM,RENDA,CB,ENERGIA,XCENTR,YCENTR
376,3550308999403,355030896,403,3.84905,809.98,10.39443,209.37392,354740,7397320
377,3550308999404,355030896,404,3.86479,727.87,9.91551,192.56313,354616,7396890
378,3550308999405,355030896,405,3.83619,803.27,10.43392,212.94574,355984,7396850
379,3550308999406,355030896,406,4.06014,644.80,9.43035,134.39591,357663,7397500
380,3550308999407,355030896,407,3.81781,1016.39,10.65186,225.78724,356945,7396350
381,3550308999408,355030896,408,3.92540,681.17,9.91282,203.77113,357775,7395350
382,3550308999409,355030847,409,3.71985,1297.09,12.62243,235.61589,353666,7395950
383,3550308999410,355030847,410,3.84864,1178.50,11.98234,232.28845,354093,7394680
384,3550308999411,355030847,411,3.59955,1445.14,13.15794,220.60678,353035,7394790
385,3550308999412,355030831,412,3.75172,938.17,10.86844,208.84183,356442,7394590
386,3550308999413,355030831,413,3.85462,1073.04,11.08683,224.48748,354918,7394320
387,3550308999414,355030831,414,3.91946,895.33,10.56701,211.72649,356053,7393700
388,3550308999415,355030831,415,3.90321,864.90,10.77948,191.44179,358119,7393400
389,3550308999416,355030847,416,3.79240,980.83,10.46558,217.37462,354188,7391500
390,3550308999417,355030825,417,3.83726,701.57,10.51248,185.81849,355827,7392450
391,3550308999418,355030825,418,3.91649,991.38,11.55227,211.16256,356914,7392410
392,3550308999419,355030825,419,3.88128,742.76,10.56930,198.61911,357408,7391610
393,3550308999420,355030825,420,3.94106,688.21,9.37069,170.07732,358679,7391120
394,3550308999421,355030825,421,3.87572,824.33,10.67186,187.27940,356935,7390520
395,3550308999422,355030825,422,3.76969,893.57,11.40260,184.62170,356976,7388910
396,3550308999423,355030825,423,3.67057,836.19,11.41088,180.04475,355786,7390290
397,3550308999424,355030833,424,3.91512,822.78,10.53527,206.46393,352036,7389010
398,3550308999425,355030833,425,3.82103,944.20,11.20922,213.35068,353275,7388790
399,3550308999426,355030833,426,4.03403,671.78,9.87897,181.57123,355355,7388160
400,3550308999427,355030875,427,3.96990,675.53,10.18087,170.38572,351604,7385560
